ImageId,Label
1,2
2,0
3,9
4,9
5,1
6,7
7,0
8,3
9,0
10,3
11,9
12,8
13,4
14,0
15,0
16,3
17,2
18,1
19,9
20,0
21,9
22,1
23,1
24,3
25,7
26,4
27,6
28,7
29,7
30,9
31,7
32,4
33,4
34,1
35,6
36,9
37,6
38,5
39,9
40,6
41,7
42,7
43,4
44,9
45,2
46,7
47,9
48,3
49,6
50,9
51,6
52,9
53,1
54,3
55,5
56,2
57,1
58,2
59,6
60,0
61,9
62,1
63,9
64,0
65,0
66,0
67,1
68,7
69,0
70,1
71,6
72,8
73,3
74,9
75,9
76,3
77,8
78,9
79,2
80,2
81,9
82,9
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,1
92,0
93,6
94,6
95,8
96,6
97,3
98,9
99,7
100,7
101,0
102,9
103,1
104,0
105,7
106,7
107,0
108,9
109,0
110,3
111,0
112,0
113,6
114,1
115,1
116,8
117,1
118,1
119,8
120,3
121,3
122,9
123,2
124,1
125,6
126,3
127,8
128,7
129,1
130,4
131,3
132,8
133,6
134,0
135,0
136,0
137,3
138,1
139,9
140,0
141,4
142,2
143,4
144,3
145,5
146,9
147,4
148,4
149,1
150,1
151,4
152,1
153,9
154,6
155,3
156,1
157,9
158,4
159,7
160,8
161,3
162,0
163,4
164,5
165,1
166,1
167,7
168,6
169,3
170,0
171,2
172,7
173,9
174,6
175,1
176,1
177,9
178,4
179,1
180,2
181,4
182,9
183,5
184,0
185,4
186,9
187,1
188,1
189,6
190,0
191,6
192,8
193,4
194,8
195,6
196,0
197,9
198,7
199,0
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,4
211,0
212,9
213,3
214,6
215,9
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,9
227,4
228,6
229,1
230,0
231,0
232,8
233,9
234,1
235,7
236,3
237,2
238,1
239,2
240,6
241,3
242,6
243,2
244,2
245,5
246,3
247,9
248,3
249,3
250,8
251,9
252,4
253,1
254,3
255,8
256,4
257,3
258,1
259,4
260,2
261,2
262,3
263,9
264,3
265,7
266,0
267,6
268,5
269,3
270,1
271,6
272,0
273,6
274,3
275,9
276,6
277,1
278,3
279,8
280,9
281,0
282,9
283,2
284,0
285,3
286,1
287,9
288,9
289,9
290,9
291,5
292,7
293,7
294,9
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,9
303,9
304,2
305,6
306,3
307,7
308,1
309,9
310,5
311,8
312,6
313,9
314,9
315,0
316,8
317,5
318,4
319,1
320,9
321,9
322,1
323,1
324,3
325,9
326,4
327,1
328,1
329,3
330,8
331,6
332,3
333,1
334,2
335,0
336,9
337,0
338,0
339,6
340,9
341,6
342,7
343,1
344,3
345,6
346,0
347,4
348,6
349,2
350,2
351,4
352,7
353,7
354,5
355,9
356,9
357,8
358,9
359,6
360,9
361,3
362,6
363,3
364,5
365,9
366,6
367,0
368,8
369,1
370,2
371,4
372,3
373,9
374,9
375,7
376,6
377,9
378,4
379,3
380,1
381,6
382,5
383,5
384,3
385,2
386,6
387,9
388,1
389,3
390,9
391,1
392,7
393,1
394,9
395,6
396,1
397,1
398,1
399,9
400,3
401,9
402,2
403,6
404,1
405,1
406,1
407,8
408,3
409,9
410,5
411,5
412,3
413,4
414,1
415,2
416,3
417,1
418,1
419,3
420,4
421,3
422,6
423,6
424,8
425,3
426,1
427,9
428,9
429,9
430,7
431,4
432,8
433,3
434,2
435,0
436,1
437,3
438,9
439,9
440,0
441,9
442,4
443,7
444,4
445,3
446,4
447,1
448,1
449,3
450,9
451,9
452,7
453,6
454,9
455,5
456,9
457,2
458,3
459,1
460,6
461,6
462,7
463,9
464,0
465,5
466,1
467,7
468,4
469,9
470,1
471,1
472,4
473,9
474,9
475,1
476,0
477,1
478,1
479,1
480,0
481,4
482,9
483,1
484,1
485,9
486,9
487,4
488,9
489,3
490,7
491,0
492,4
493,2
494,4
495,2
496,7
497,6
498,3
499,3
500,0
501,6
502,9
503,6
504,4
505,3
506,2
507,3
508,3
509,0
510,6
511,7
512,5
513,2
514,7
515,9
516,8
517,3
518,7
519,4
520,2
521,4
522,9
523,0
524,7
525,9
526,1
527,0
528,1
529,1
530,7
531,0
532,4
533,3
534,8
535,9
536,0
537,6
538,9
539,4
540,1
541,0
542,2
543,9
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,3
555,0
556,0
557,7
558,5
559,6
560,2
561,9
562,3
563,1
564,1
565,6
566,3
567,3
568,1
569,1
570,4
571,7
572,5
573,3
574,6
575,0
576,4
577,1
578,6
579,4
580,6
581,9
582,1
583,2
584,6
585,9
586,1
587,7
588,1
589,2
590,3
591,9
592,9
593,8
594,3
595,1
596,6
597,4
598,6
599,0
600,3
601,1
602,1
603,7
604,1
605,5
606,7
607,3
608,5
609,6
610,7
611,7
612,4
613,3
614,3
615,2
616,4
617,7
618,0
619,0
620,9
621,9
622,5
623,9
624,4
625,0
626,9
627,1
628,3
629,6
630,2
631,6
632,1
633,5
634,4
635,1
636,9
637,9
638,7
639,9
640,3
641,0
642,9
643,9
644,9
645,9
646,2
647,8
648,4
649,1
650,9
651,4
652,9
653,0
654,2
655,5
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,1
667,1
668,2
669,3
670,6
671,3
672,9
673,4
674,3
675,9
676,7
677,2
678,9
679,6
680,0
681,6
682,9
683,9
684,9
685,1
686,3
687,9
688,6
689,9
690,9
691,1
692,6
693,0
694,1
695,9
696,4
697,3
698,9
699,5
700,6
701,4
702,4
703,8
704,0
705,6
706,0
707,5
708,4
709,6
710,5
711,9
712,8
713,1
714,9
715,9
716,6
717,6
718,3
719,2
720,3
721,9
722,3
723,1
724,0
725,1
726,0
727,6
728,9
729,2
730,1
731,7
732,1
733,3
734,2
735,2
736,7
737,1
738,0
739,1
740,9
741,4
742,8
743,3
744,9
745,3
746,9
747,3
748,7
749,9
750,6
751,4
752,9
753,4
754,4
755,7
756,4
757,4
758,1
759,1
760,3
761,2
762,0
763,5
764,0
765,4
766,0
767,4
768,9
769,1
770,9
771,2
772,5
773,0
774,1
775,6
776,3
777,9
778,6
779,3
780,1
781,1
782,7
783,9
784,5
785,3
786,5
787,3
788,9
789,8
790,8
791,1
792,0
793,4
794,0
795,9
796,3
797,1
798,6
799,9
800,9
801,1
802,1
803,3
804,1
805,1
806,4
807,9
808,6
809,9
810,1
811,5
812,9
813,2
814,2
815,1
816,4
817,0
818,9
819,9
820,4
821,3
822,0
823,4
824,0
825,1
826,9
827,0
828,4
829,9
830,2
831,1
832,3
833,9
834,9
835,3
836,9
837,4
838,1
839,3
840,7
841,1
842,9
843,0
844,9
845,6
846,6
847,7
848,2
849,1
850,5
851,9
852,9
853,9
854,7
855,2
856,8
857,1
858,3
859,9
860,3
861,0
862,9
863,1
864,8
865,2
866,3
867,0
868,9
869,2
870,3
871,4
872,5
873,4
874,3
875,9
876,2
877,1
878,1
879,0
880,1
881,4
882,8
883,1
884,1
885,2
886,7
887,1
888,9
889,4
890,9
891,1
892,7
893,6
894,0
895,4
896,6
897,9
898,9
899,1
900,1
901,3
902,2
903,3
904,7
905,9
906,8
907,7
908,3
909,2
910,7
911,2
912,0
913,4
914,8
915,1
916,0
917,4
918,6
919,1
920,0
921,7
922,3
923,6
924,9
925,4
926,7
927,9
928,6
929,6
930,3
931,3
932,2
933,1
934,4
935,1
936,2
937,9
938,7
939,9
940,9
941,6
942,6
943,4
944,1
945,0
946,9
947,1
948,6
949,9
950,3
951,6
952,7
953,5
954,2
955,3
956,1
957,2
958,1
959,0
960,6
961,7
962,9
963,4
964,0
965,0
966,3
967,1
968,9
969,5
970,5
971,3
972,2
973,6
974,6
975,7
976,1
977,2
978,0
979,7
980,4
981,5
982,9
983,7
984,9
985,7
986,7
987,0
988,3
989,3
990,2
991,1
992,9
993,5
994,6
995,9
996,3
997,6
998,6
999,2
1000,9
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,4
1008,4
1009,1
1010,9
1011,2
1012,6
1013,2
1014,7
1015,3
1016,9
1017,6
1018,3
1019,4
1020,9
1021,4
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,5
1029,4
1030,1
1031,9
1032,1
1033,8
1034,9
1035,4
1036,1
1037,9
1038,1
1039,9
1040,0
1041,1
1042,6
1043,1
1044,9
1045,0
1046,2
1047,2
1048,7
1049,6
1050,6
1051,2
1052,1
1053,2
1054,3
1055,9
1056,1
1057,1
1058,3
1059,0
1060,9
1061,0
1062,0
1063,6
1064,0
1065,9
1066,9
1067,7
1068,0
1069,1
1070,9
1071,0
1072,3
1073,9
1074,6
1075,7
1076,2
1077,6
1078,1
1079,2
1080,9
1081,3
1082,0
1083,2
1084,1
1085,7
1086,9
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,9
1094,1
1095,7
1096,6
1097,9
1098,3
1099,9
1100,3
1101,4
1102,1
1103,9
1104,1
1105,9
1106,1
1107,0
1108,0
1109,8
1110,6
1111,7
1112,2
1113,4
1114,1
1115,0
1116,3
1117,3
1118,6
1119,1
1120,9
1121,6
1122,4
1123,1
1124,1
1125,4
1126,3
1127,6
1128,6
1129,1
1130,2
1131,0
1132,5
1133,9
1134,0
1135,3
1136,6
1137,9
1138,2
1139,7
1140,9
1141,0
1142,0
1143,1
1144,1
1145,1
1146,9
1147,9
1148,3
1149,5
1150,3
1151,9
1152,7
1153,5
1154,4
1155,9
1156,9
1157,9
1158,1
1159,9
1160,9
1161,9
1162,1
1163,1
1164,0
1165,6
1166,4
1167,9
1168,6
1169,4
1170,4
1171,9
1172,2
1173,9
1174,1
1175,5
1176,2
1177,2
1178,7
1179,2
1180,3
1181,3
1182,9
1183,9
1184,9
1185,0
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,0
1193,3
1194,1
1195,2
1196,9
1197,9
1198,6
1199,3
1200,4
1201,6
1202,9
1203,3
1204,9
1205,1
1206,7
1207,9
1208,6
1209,4
1210,0
1211,6
1212,8
1213,9
1214,9
1215,3
1216,3
1217,6
1218,7
